run_id,project,algorithm,dataset,track,filter_type,filter_width,selectivity,k,params_json,recall,qps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,build_time_s,index_size_kb,memory_kb,distcomps,threads,raw_result_path,created_at
9a4b65a9,hnswlib,hnsw,msmarco,,,,,10,"""{\""M\"": 8, \""ef_construction\"": 200, \""ef\"": 128}""",0.887,161.29032258064515,6.2,,,,150.0,,5242880.0,,,,2026-05-14 01:06:40.715918
1fbf2ff5,hnswlib,hnsw,msmarco,,,,,10,"""{\""M\"": 16, \""ef_construction\"": 200, \""ef\"": 128}""",0.901,117.6470588235294,8.5,,,,342.0,,13841203.2,,,,2026-05-14 01:06:40.750930
1bab93cc,hnswlib,hnsw,msmarco,,,,,10,"""{\""M\"": 32, \""ef_construction\"": 200, \""ef\"": 128}""",0.912,89.28571428571429,11.2,,,,581.0,,23907532.8,,,,2026-05-14 01:06:40.789426
458a7da6,hnswlib,hnsw,msmarco,,,,,10,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 128}""",0.922,70.92198581560284,14.1,,,,780.0,,33030144.0,,,,2026-05-14 01:06:40.835632
cab93898,hnswlib,hnsw,msmarco,,,,,10,"""{\""M\"": 64, \""ef_construction\"": 200, \""ef\"": 128}""",0.924,65.359477124183,15.3,,,,1024.0,,43620761.6,,,,2026-05-14 01:06:40.869061
4ea52f5d,hnswlib,hnsw,msmarco,,,,,10,"""{\""M\"": 96, \""ef_construction\"": 200, \""ef\"": 128}""",0.929,46.082949308755765,21.7,,,,1580.0,,65326284.8,,,,2026-05-14 01:06:40.907268
60575c43,hnswlib,hnsw,msmarco,,,,,10,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 32}""",0.901,128.2051282051282,7.8,,,,780.0,,33030144.0,,,,2026-05-14 01:06:40.941138
9502d796,hnswlib,hnsw,msmarco,,,,,10,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 64}""",0.913,95.23809523809524,10.5,,,,780.0,,33030144.0,,,,2026-05-14 01:06:40.987214
db2f4ab0,hnswlib,hnsw,msmarco,,,,,10,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 128}""",0.922,70.92198581560284,14.1,,,,780.0,,33030144.0,,,,2026-05-14 01:06:41.029814
f514b732,hnswlib,hnsw,msmarco,,,,,10,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 256}""",0.931,35.3356890459364,28.3,,,,780.0,,33030144.0,,,,2026-05-14 01:06:41.067089
208e1e55,hnswlib,hnsw,msmarco,,,,,10,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 512}""",0.934,17.123287671232877,58.4,,,,780.0,,33030144.0,,,,2026-05-14 01:06:41.104620
7dec6f95,hnswlib,hnsw,nq,,,,,10,"""{\""M\"": 64, \""ef_construction\"": 200, \""ef\"": 128}""",0.918,60.60606060606061,16.5,,,,1100.0,,47395635.2,,,,2026-05-14 01:06:41.137147
c5514819,hnswlib,hnsw,enron,,,,,10,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 128}""",0.945,121.95121951219514,8.2,,,,45.0,,2936012.8,,,,2026-05-14 01:06:41.174284
d3ac95a8,flat,flat,msmarco,,,,,1,"""{\""method\"": \""brute_force\""}""",0.847,0.43478260869565216,2300.0,,,,0.0,,0.0,,,,2026-05-14 01:06:41.212489
eddf6b64,flat,flat,msmarco,,,,,10,"""{\""method\"": \""brute_force\""}""",1.0,0.43478260869565216,2300.0,,,,0.0,,0.0,,,,2026-05-14 01:06:41.261980
f8d70265,flat,flat,msmarco,,,,,100,"""{\""method\"": \""brute_force\""}""",1.0,0.43478260869565216,2300.0,,,,0.0,,0.0,,,,2026-05-14 01:06:41.301270
68891ffa,hnswlib,hnsw,msmarco,,,,,1,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 128}""",0.712,70.92198581560284,14.1,,,,780.0,,33030144.0,,,,2026-05-14 01:06:41.401005
5a057f24,hnswlib,hnsw,msmarco,,,,,10,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 128}""",0.922,70.92198581560284,14.1,,,,780.0,,33030144.0,,,,2026-05-14 01:06:41.435180
6cc1d97d,hnswlib,hnsw,msmarco,,,,,100,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 128}""",0.984,44.44444444444444,22.5,,,,780.0,,33030144.0,,,,2026-05-14 01:06:41.469917
6b31ed71,ivf_pq,ivf_pq,msmarco,,,,,1,"""{\""nlist\"": 4096, \""m\"": 16, \""nprobe\"": 100}""",0.623,117.6470588235294,8.5,,,,180.0,,6081740.8,,,,2026-05-14 01:06:41.507192
2da08205,ivf_pq,ivf_pq,msmarco,,,,,10,"""{\""nlist\"": 4096, \""m\"": 16, \""nprobe\"": 100}""",0.847,81.30081300813008,12.3,,,,180.0,,6081740.8,,,,2026-05-14 01:06:41.539901
2d14f0c5,ivf_pq,ivf_pq,msmarco,,,,,100,"""{\""nlist\"": 4096, \""m\"": 16, \""nprobe\"": 100}""",0.951,39.0625,25.6,,,,180.0,,6081740.8,,,,2026-05-14 01:06:41.572165
1d30c450,swirl,swirl,msmarco,,,,,1,"""{\""alpha\"": 1.0}""",0.738,63.291139240506325,15.8,,,,0.0,,0.0,,,,2026-05-14 01:06:41.607749
f66c5205,swirl,swirl,msmarco,,,,,10,"""{\""alpha\"": 1.0}""",0.931,63.291139240506325,15.8,,,,0.0,,0.0,,,,2026-05-14 01:06:41.639918
b1f62ee2,swirl,swirl,msmarco,,,,,100,"""{\""alpha\"": 1.0}""",0.987,41.32231404958678,24.2,,,,0.0,,0.0,,,,2026-05-14 01:06:41.671279
98ade364,sieve,sieve,msmarco,,,,,1,"""{\""filter_attr\"": \""year\"", \""selectivity\"": \""medium\""}""",0.752,54.94505494505495,18.2,,,,2180.0,,105696460.8,,,,2026-05-14 01:06:41.706709
f645a63a,sieve,sieve,msmarco,,,,,10,"""{\""filter_attr\"": \""year\"", \""selectivity\"": \""medium\""}""",0.947,54.94505494505495,18.2,,,,2180.0,,105696460.8,,,,2026-05-14 01:06:41.738421
534ad7c2,sieve,sieve,msmarco,,,,,100,"""{\""filter_attr\"": \""year\"", \""selectivity\"": \""medium\""}""",0.991,33.898305084745765,29.5,,,,2180.0,,105696460.8,,,,2026-05-14 01:06:41.773650
234b85ad,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 16, \""ef_construction\"": 200, \""ef\"": 32}""",0.887,8200.0,0.12195121951219512,,,,780.0,,33030144.0,,,,2026-05-14 01:06:41.808617
ae61ff6c,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 16, \""ef_construction\"": 200, \""ef\"": 64}""",0.894,7100.0,0.14084507042253522,,,,780.0,,33030144.0,,,,2026-05-14 01:06:41.844088
960b0b34,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 16, \""ef_construction\"": 200, \""ef\"": 128}""",0.901,5800.0,0.1724137931034483,,,,780.0,,33030144.0,,,,2026-05-14 01:06:41.899066
bfac5e38,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 32, \""ef_construction\"": 200, \""ef\"": 32}""",0.898,6800.0,0.14705882352941177,,,,780.0,,33030144.0,,,,2026-05-14 01:06:41.960608
dba8e07d,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 32, \""ef_construction\"": 200, \""ef\"": 64}""",0.905,5900.0,0.1694915254237288,,,,780.0,,33030144.0,,,,2026-05-14 01:06:41.995610
b1ddad83,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 32, \""ef_construction\"": 200, \""ef\"": 128}""",0.912,4800.0,0.20833333333333334,,,,780.0,,33030144.0,,,,2026-05-14 01:06:42.030295
c64d2fe5,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 32}""",0.901,6200.0,0.16129032258064516,,,,780.0,,33030144.0,,,,2026-05-14 01:06:42.059488
8cfb5a94,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 64}""",0.913,5100.0,0.19607843137254902,,,,780.0,,33030144.0,,,,2026-05-14 01:06:42.093549
1fb9274e,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 128}""",0.922,4200.0,0.23809523809523808,,,,780.0,,33030144.0,,,,2026-05-14 01:06:42.126519
da3ed73d,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 256}""",0.931,2800.0,0.35714285714285715,,,,780.0,,33030144.0,,,,2026-05-14 01:06:42.156628
0e9e3d24,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 48, \""ef_construction\"": 200, \""ef\"": 512}""",0.934,1500.0,0.6666666666666666,,,,780.0,,33030144.0,,,,2026-05-14 01:06:42.190518
bfe9770c,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 64, \""ef_construction\"": 200, \""ef\"": 32}""",0.905,5400.0,0.18518518518518517,,,,780.0,,33030144.0,,,,2026-05-14 01:06:42.224168
91718fc0,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 64, \""ef_construction\"": 200, \""ef\"": 64}""",0.918,4500.0,0.2222222222222222,,,,780.0,,33030144.0,,,,2026-05-14 01:06:42.254330
ee248ad5,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 64, \""ef_construction\"": 200, \""ef\"": 128}""",0.924,3600.0,0.2777777777777778,,,,780.0,,33030144.0,,,,2026-05-14 01:06:42.287827
f9e013c7,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 64, \""ef_construction\"": 200, \""ef\"": 256}""",0.938,2400.0,0.4166666666666667,,,,780.0,,33030144.0,,,,2026-05-14 01:06:42.322011
580f9b79,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 64, \""ef_construction\"": 200, \""ef\"": 512}""",0.946,1300.0,0.7692307692307693,,,,780.0,,33030144.0,,,,2026-05-14 01:06:42.352482
2957a519,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 96, \""ef_construction\"": 200, \""ef\"": 128}""",0.929,2800.0,0.35714285714285715,,,,780.0,,33030144.0,,,,2026-05-14 01:06:42.385554
0e8bd6aa,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 96, \""ef_construction\"": 200, \""ef\"": 256}""",0.942,1900.0,0.5263157894736842,,,,780.0,,33030144.0,,,,2026-05-14 01:06:42.419428
2f49633a,hnswlib,hnsw,msmarco_pareto,,,,,10,"""{\""M\"": 96, \""ef_construction\"": 200, \""ef\"": 512}""",0.952,1000.0,1.0,,,,780.0,,33030144.0,,,,2026-05-14 01:06:42.451200
c713c5d2,ivf_pq,ivf_pq,msmarco_pareto,,,,,10,"""{\""nlist\"": 1024, \""m\"": 16, \""nprobe\"": 1}""",0.752,4200.0,0.23809523809523808,,,,180.0,,6081740.8,,,,2026-05-14 01:06:42.485622
ed5f550e,ivf_pq,ivf_pq,msmarco_pareto,,,,,10,"""{\""nlist\"": 1024, \""m\"": 16, \""nprobe\"": 10}""",0.801,3100.0,0.3225806451612903,,,,180.0,,6081740.8,,,,2026-05-14 01:06:42.522692
