run_id,project,algorithm,dataset,track,filter_type,filter_width,selectivity,k,params_json,recall,qps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,build_time_s,index_size_kb,memory_kb,distcomps,threads,raw_result_path,created_at
,SIEVE,cufe,yfcc-10M,filter,predicate,,,10,"{""raw_parameters"": ""Faiss(('IVF4096,SQ8', {'nprobe': 4, 'mt_threshold': 0.0001}))""}",0.721955,7005.467777167178,,,,,554.1706802845001,4980820.0,,,,/root/index2/filtered-vector-lab/third_party/SIEVE/biganntest/neurips23/filter/res_public_queries_AzureD8lds_v5.csv,2026-05-12 23:29:20.649407
,SIEVE,cufe,yfcc-10M,filter,predicate,,,10,"{""raw_parameters"": ""Faiss(('IVF4096,SQ8', {'nprobe': 4, 'mt_threshold': 0.0003}))""}",0.762003,6284.524075676667,,,,,554.1706802845001,4980820.0,,,,/root/index2/filtered-vector-lab/third_party/SIEVE/biganntest/neurips23/filter/res_public_queries_AzureD8lds_v5.csv,2026-05-12 23:29:20.649407
,SIEVE,cufe,yfcc-10M,filter,predicate,,,10,"{""raw_parameters"": ""Faiss(('IVF4096,SQ8', {'nprobe': 10, 'mt_threshold': 0.0001}))""}",0.826379,5312.795862267859,,,,,554.1706802845001,4980820.0,,,,/root/index2/filtered-vector-lab/third_party/SIEVE/biganntest/neurips23/filter/res_public_queries_AzureD8lds_v5.csv,2026-05-12 23:29:20.649407
,SIEVE,cufe,yfcc-10M,filter,predicate,,,10,"{""raw_parameters"": ""Faiss(('IVF4096,SQ8', {'nprobe': 8, 'mt_threshold': 0.0003}))""}",0.8361879999999999,5245.602730097057,,,,,554.1706802845001,4980820.0,,,,/root/index2/filtered-vector-lab/third_party/SIEVE/biganntest/neurips23/filter/res_public_queries_AzureD8lds_v5.csv,2026-05-12 23:29:20.649407
,SIEVE,cufe,yfcc-10M,filter,predicate,,,10,"{""raw_parameters"": ""Faiss(('IVF4096,SQ8', {'nprobe': 12, 'mt_threshold': 0.0002}))""}",0.8609640000000001,4755.515456714368,,,,,554.1706802845001,4980820.0,,,,/root/index2/filtered-vector-lab/third_party/SIEVE/biganntest/neurips23/filter/res_public_queries_AzureD8lds_v5.csv,2026-05-12 23:29:20.649407
,SIEVE,cufe,yfcc-10M,filter,predicate,,,10,"{""raw_parameters"": ""Faiss(('IVF4096,SQ8', {'nprobe': 16, 'mt_threshold': 0.0001}))""}",0.870327,4238.071924951995,,,,,554.1706802845001,4980820.0,,,,/root/index2/filtered-vector-lab/third_party/SIEVE/biganntest/neurips23/filter/res_public_queries_AzureD8lds_v5.csv,2026-05-12 23:29:20.649407
,SIEVE,cufe,yfcc-10M,filter,predicate,,,10,"{""raw_parameters"": ""Faiss(('IVF4096,SQ8', {'nprobe': 16, 'mt_threshold': 0.0003}))""}",0.896015,4033.9051602997056,,,,,554.1706802845001,4980820.0,,,,/root/index2/filtered-vector-lab/third_party/SIEVE/biganntest/neurips23/filter/res_public_queries_AzureD8lds_v5.csv,2026-05-12 23:29:20.649407
,SIEVE,cufe,yfcc-10M,filter,predicate,,,10,"{""raw_parameters"": ""Faiss(('IVF4096,SQ8', {'nprobe': 16, 'mt_threshold': 0.00033}))""}",0.8986319999999999,4013.6914950453065,,,,,554.1706802845001,4980820.0,,,,/root/index2/filtered-vector-lab/third_party/SIEVE/biganntest/neurips23/filter/res_public_queries_AzureD8lds_v5.csv,2026-05-12 23:29:20.649407
,SIEVE,cufe,yfcc-10M,filter,predicate,,,10,"{""raw_parameters"": ""Faiss(('IVF4096,SQ8', {'nprobe': 30, 'mt_threshold': 0.00033}))""}",0.937862,2917.1327145073938,,,,,554.1706802845001,4980820.0,,,,/root/index2/filtered-vector-lab/third_party/SIEVE/biganntest/neurips23/filter/res_public_queries_AzureD8lds_v5.csv,2026-05-12 23:29:20.649407
,SIEVE,cufe,yfcc-10M,filter,predicate,,,10,"{""raw_parameters"": ""Faiss(('IVF4096,SQ8', {'nprobe': 32, 'mt_threshold': 0.00033}))""}",0.941163,2806.7763921147266,,,,,554.1706802845001,4980820.0,,,,/root/index2/filtered-vector-lab/third_party/SIEVE/biganntest/neurips23/filter/res_public_queries_AzureD8lds_v5.csv,2026-05-12 23:29:20.649407
